Hanzi,Traditional,Pinyin,Pinyin 2,Meaning,Audio
丢,丟,diū,,discard, [sound:sapi5-2ffcfcb6-e987c947-b7d1945c-919c2a9a-de670874.mp3]
埋,,mái,mán,"bury, secrete, conceal", [sound:sapi5-681e075d-b571b497-6928c629-94237579-6174f8d9.mp3]
泉,,quán,,"spring, fountain; wealth, money", [sound:sapi5-42d870df-ecb16a91-eb2f7763-b8985a2f-ae8dc482.mp3]
涌,湧 涌,yǒng,chōng,"surge up, bubble up, gush forth", [sound:sapi5-b13dd04c-e81fa1e6-4fc705a1-5258e719-d6520eed.mp3]
辖,轄,xiá,,linchpin of wheel; control, [sound:sapi5-7d2f9d9b-f4da0de6-cae13d54-b222723c-8bc6a560.mp3]
躲,,duǒ,,"hide, secrete; avoid, escape", [sound:sapi5-c0565bb7-e908120e-9bda4243-1afd24c1-378ccc08.mp3]
晋,晉,jìn,,"advance, increase; promote", [sound:sapi5-7c6438c2-cfecc204-ef5988e2-a1a3e709-4f8692b0.mp3]
紫,,zǐ,,"purple, violet; amethyst; surname", [sound:sapi5-14e6fa1d-a29b30ad-5376e249-3ff2343c-7e72c882.mp3]
艰,艱,jiān,,"difficult, hard; distressing", [sound:sapi5-0262b0e5-cb313782-8f404b49-c7bee469-cff9d76e.mp3]
魏,,wèi,"wéi, wēi",kingdom of Wei; surname, [sound:sapi5-87185a96-3a82c374-cdf29c6d-a5ef8a6d-c18e0eb4.mp3]
吾,,wú,,"i, my, our; resist, impede", [sound:sapi5-46fb27ae-f851199f-adf65bd3-485404b0-77e1e7d2.mp3]
慌,,huāng,huǎng,"nervous, panicky, frantic", [sound:sapi5-438c25bf-3abf4e21-432ef654-dc64abdd-a84b02b4.mp3]
祝,,zhù,"zhòu, chù",pray for happiness or blessings, [sound:sapi5-d351e090-1ed34e1c-38694cf8-745360d6-0dec0043.mp3]
邮,郵,yóu,,"postal, mail; post office", [sound:sapi5-8a8cb0b5-9a18562b-7c9373a4-0c078858-b6840223.mp3]
吐,,tǔ,tù,"vomit, spew out, cough up", [sound:sapi5-0ace49e6-46e074e4-154258f2-2ded130e-7a04f73a.mp3]
狠,,hěn,"yín, yán, kěn,hǎng","vicious, cruel; severely, extreme", [sound:sapi5-9e4a611c-c961213e-c3393f1e-8cdb34a7-d7e3df5b.mp3]
鉴,鑒 鑑,jiàn,,"mirror, looking glass; reflect", [sound:sapi5-607bcb0c-65d3c6ba-f244a650-e244636c-98d92593.mp3]
曰,,yuē,,say; KangXi radical 73, [sound:sapi5-3eaed456-eb618a59-d8e92595-1bec9371-0d9e6418.mp3]
械,,xiè,jiè,"weapons; implements, instruments", [sound:sapi5-8635ce49-5fd2f0e8-959640b7-dcf8c21d-8bdf8848.mp3]
咬,,yǎo,jiāo,"bite, gnaw", [sound:sapi5-4e02c1b0-bcffe017-5026c124-0a78612f-7bac47c5.mp3]
邻,鄰,lín,,neighbor; neighborhood, [sound:sapi5-3e63a474-d88016f2-d733f5b5-7e78bac7-946f8ea7.mp3]
赤,,chì,,"red; communist, 'red'; bare", [sound:sapi5-4cd5f06b-aa7b11f1-466012dd-55078e5f-570a3456.mp3]
挤,擠,jǐ,,"crowd, squeeze, push against", [sound:sapi5-6f00ad33-3182c906-bea77bbf-51a50594-4525d848.mp3]
弯,彎,wān,,"bend, curve", [sound:sapi5-d452052e-3508d36a-40d500ec-9c96cf7b-240f061a.mp3]
椅,,yǐ,yī,"chair, seat", [sound:sapi5-57f6bb70-b4152a48-041008e8-b10027a4-45ddbefa.mp3]
陪,,péi,,"accompany, be with, keep company", [sound:sapi5-35322e90-d593bd8e-c96e4285-7ccbba69-821b7ef3.mp3]
割,,gē,,"cut, divide, partition; cede", [sound:sapi5-4b4d54f8-2787d903-b479f81d-5c8d75b0-80ebee7c.mp3]
揭,,jiē,,"raise, lift up; surname", [sound:sapi5-7631ce8b-d6f2f7a5-eeb58309-becdae77-22607fd1.mp3]
韦,,wéi,,tanned leather; surname; simplified form of KangXi radical number 178, [sound:sapi5-4f5b1db9-48ea971f-9abfeb26-b34c9096-7ee8c1fe.mp3]
悟,,wù,,"to apprehend, realize, become aware", [sound:sapi5-68b29ca6-06fa51f6-02c962b0-36876dfe-92fc259e.mp3]
聪,聰,cōng,,"intelligent, clever, bright", [sound:sapi5-4149fbe6-96b5e54b-5dcdb498-b5d9bda5-bc25cdfa.mp3]
雾,霧,wù,,"fog, mist, vapor, fine spray", [sound:sapi5-b37471c7-6913c054-ef8ef181-883548d1-cd9e9543.mp3]
锋,鋒,fēng,,"point of spear, sharp point", [sound:sapi5-df0e8750-7ee46501-f4db5125-6e5159d1-df91e729.mp3]
梯,,tī,tí,"ladder, steps, stairs; lean", [sound:sapi5-539d974f-d032726f-f5cfb43a-baa441c3-94bbea23.mp3]
猫,貓,māo,"máo, miáo",cat, [sound:sapi5-e94c984f-74a58844-cf6226e9-648f61fd-05aa085d.mp3]
祥,,xiáng,,"good luck, good omen; happiness", [sound:sapi5-4f5389be-37fa0bee-5be506a1-484d0a6c-c023c39f.mp3]
阔,闊,kuò,,"broad, ample, wide; be apart", [sound:sapi5-6ca4dbb8-de20fcdc-ce80a88f-deac6b08-6f898bc7.mp3]
誉,譽,yù,,"fame, reputation; praise", [sound:sapi5-5f620fef-304df2dd-c534fcf4-58967154-4ae776e7.mp3]
筹,籌,chóu,,"chip, tally, token; raise money", [sound:sapi5-53ecb636-7ef4401d-e4ef35c4-8c333b98-09e9b2b8.mp3]
丛,叢,cóng,,"bush, shrub; thicket; collection", [sound:sapi5-a7242ca6-60992b51-1994c9a4-675d654a-cf7011c4.mp3]
牵,牽,qiān,qiàn,"drag, pull, lead by hand", [sound:sapi5-8bc7dc8c-1fd60089-67622944-d46c2933-732d3617.mp3]
鸣,鳴,míng,,cry of bird or animal; make sound, [sound:sapi5-bf1fc09c-76d497d4-d2c758e7-d2e2417c-fa44dd49.mp3]
沈,,chén,"shěn, tán","sink, submerge; addicted to; surname", [sound:sapi5-ccf20ae4-69a14c2e-fec50650-ad068475-78e6ab50.mp3]
阁,,gé,,"chamber, pavilion; cabinet", [sound:sapi5-a892eb39-2e942f18-9a5e2a1b-1ec4b300-293283ed.mp3]
穆,,mù,,"majestic, solemn, reverent; calm", [sound:sapi5-62b2286c-57769bec-2e211725-e2db1e28-0f3eec48.mp3]
屈,,qū,,"bend, flex; bent, crooked; crouch", [sound:sapi5-079f2cce-f601b7d7-b57e5c0b-ed49b92f-1526ee97.mp3]
旨,,zhǐ,,"purpose, aim; excellent", [sound:sapi5-13913b44-d996fd05-a6b853b2-c1537386-d363d612.mp3]
袖,,xiù,,sleeve; put something in sleeve, [sound:sapi5-f726f54e-cbab0a31-7c2d9786-24e357e0-ec993c55.mp3]
猎,獵,xí,"liè, què",hunt; field sports, [sound:sapi5-62cf4a74-7e4c6839-8211d9ab-d8d2781d-0a81875c.mp3]
臂,,bì,"bei, bèi",arm, [sound:sapi5-7c50ef8e-856af0ad-941ad608-849041eb-7d0c4bd1.mp3]
蛇,,shé,"yí, tuó, chí",snake, [sound:sapi5-06a7c6a5-46359ab0-e79db348-8f1fe27d-312abccc.mp3]
贺,賀,hè,,congratulate; send present, [sound:sapi5-391b9f0b-b80f6205-351e9587-3f9760b7-541e7aad.mp3]
柱,,zhù,zhǔ,"pillar, post; support; lean on", [sound:sapi5-5199a139-d9d56159-f46642f6-9a8c2aae-4523bd6f.mp3]
抛,拋,pāo,,throw (away), [sound:sapi5-50f47f5f-0f00b39d-b6bad788-932f5ec9-fb2ce95a.mp3]
鼠,,shǔ,,"rat, mouse; KangXi radical 208", [sound:sapi5-b7c2dd8b-0e4c1e4f-12e5dfdd-de30afd3-b602b921.mp3]
瑟,,sè,,"large stringed musical instrument; dignified, massive; sound of wind", [sound:sapi5-0c86bc84-7f1481fe-3452cb65-30b47de4-90137113.mp3]
戈,,gē,,"halberd, spear, lance; rad. 62", [sound:sapi5-8e24e961-93933962-b8a2f62d-2b5f6812-b3b9bd4f.mp3]
牢,,láo,"lào, lóu","prison; stable, pen; secure", [sound:sapi5-defcc05b-a556b399-d85aa65b-9ffc890d-f51da153.mp3]
逊,遜,xùn,,"humble, modest; yield", [sound:sapi5-4039b076-c3d6e584-4009a2c6-34bf86c1-09796163.mp3]
迈,邁,mài,,take a big stride; pass by, [sound:sapi5-4dbfa0d3-95db081e-8d3d073e-fe925448-9a21ad2b.mp3]
欺,,qī,,"cheat, double-cross, deceive", [sound:sapi5-5d391604-5961cbc2-da0ac3c4-50d5d903-50fa63d2.mp3]
吨,噸,dūn,,"metric ton; (Cant.) to babble, gibberish", [sound:sapi5-c10c0575-1e7afb27-e6dde0d4-f62fe900-cf6df6d8.mp3]
琴,,qín,,Chinese lute or guitar, [sound:sapi5-0e6bb345-ffe30c89-79bede30-75c1417b-73f27daf.mp3]
衰,,shuāi,"cuī, suō","decline, falter, decrease; weaken", [sound:sapi5-f9f7119f-23c2c3f9-a113d2c8-6d48dba6-1869aa74.mp3]
瓶,,píng,,"jug, pitcher, vase, jar, bottle", [sound:sapi5-d60c1fe9-94860606-3fe8beef-1ec5e6b6-669f931a.mp3]
恼,惱,nǎo,,"angered, filled with hate", [sound:sapi5-58ac5b35-83feabbd-5008f44a-620b7853-f1a4ad81.mp3]
燕,,yàn,yān,"swallow (bird); comfort, enjoy", [sound:sapi5-596423f0-c2dbf145-b6bba5f4-f1cde811-b22a097a.mp3]
仲,,zhòng,,"middle brother; go between, mediator; surname", [sound:sapi5-25e68c4f-3a93ee25-79d3b1d1-8e700656-bf8d3bff.mp3]
诱,誘,yòu,,"persuade, entice, induce; guide", [sound:sapi5-9df4a0c8-06c69186-92b46812-2942b683-180776d7.mp3]
狼,,láng,"làng, lǎng, hǎng",wolf, [sound:sapi5-3669fe6f-66877bc2-baf2cf28-b87865cb-a20d3175.mp3]
池,,chí,"tuó, chè","pool, pond; moat; cistern", [sound:sapi5-f2aae631-f8db189f-1657149e-686df5be-1701d885.mp3]
疼,,téng,,"aches, pains; be fond of; love", [sound:sapi5-7825256c-be84f10a-bee35d10-43a0a2b7-666e83d1.mp3]
卢,,lú,,"cottage, hut; surname; black", [sound:sapi5-004691e0-eccd5f9a-f757112b-9c66fed9-cca9cd2a.mp3]
仗,,zhàng,,"rely upon; protector; fight; war, weaponry", [sound:sapi5-df72d1ce-47ff40d1-c1ce77bb-32594d31-fd1ce4a1.mp3]
冠,,guān,guàn,"cap, crown, headgear", [sound:sapi5-ae3b0f2d-19ccfb1c-ef7b1a29-74dc2feb-664b99ac.mp3]
粒,,lì,,grain; small particle, [sound:sapi5-38a9edb2-a3894a7a-2d5145ac-b3f9f1a6-62030528.mp3]
遥,遙,yáo,,"far away, distant, remote", [sound:sapi5-38d26287-2ba0a612-97510967-34f73724-a5460f4c.mp3]
吕,,lǚ,,surname; a musical note, [sound:sapi5-efcc501e-c21be8a6-bf94532e-0ad562d5-eeb344ec.mp3]
玄,,xuán,xuàn,"deep, profound, abstruse; KangXi radical 95", [sound:sapi5-9c800f56-90f0af91-1a4e01c4-de3a2841-f2315061.mp3]
尘,塵,chén,,"dust, dirt, ashes, cinders", [sound:sapi5-f9d50daf-b0c2cf4d-764668dd-e3ddf072-3270f59c.mp3]
冯,,féng,píng,surname; gallop; by dint of, [sound:sapi5-32f557d4-e3fb0453-62c314d7-d09ca0f0-480e1f6a.mp3]
抚,撫,fǔ,hū,"pat, console, comfort; pacify", [sound:sapi5-a17e713b-9771dbf0-b5de16f5-59165b4c-8e72068d.mp3]
浅,淺,qiǎn,,"shallow, not deep; superficial", [sound:sapi5-af8792c5-8986cc3a-5bcf5b82-71da875f-4b98f74e.mp3]
敦,,dūn,"duì, diāo, duī,tuán, tún","esteem; honest, candid, sincere", [sound:sapi5-e6dd5a0c-3ea32cef-7dba56fc-a07f50ce-5a811a7c.mp3]
纠,糾,jiū,"jiǔ, jiǎo","investigate, inspect", [sound:sapi5-7f0e1907-630e70ae-0e22e20d-f1e046aa-2bd275c9.mp3]
钻,鑽,zuàn,zuān,"drill, bore; pierce; diamond", [sound:sapi5-1d90cf22-3d71fe98-59b438af-c3408780-db998b05.mp3]
晶,,jīng,,"crystal; clear, bright; radiant", [sound:sapi5-bc1134e0-0026105e-c7a87b63-bb949688-8da81557.mp3]
岂,豈,qǐ,kǎi,how? what?, [sound:sapi5-68a5226a-3d43abc4-389608c1-e868e8f6-cafa25d6.mp3]
峡,峽,xiá,,"gorge, strait, ravine; isthmus", [sound:sapi5-ca01033e-82cb9c40-5e61bbd6-8df69655-87339e61.mp3]
苍,蒼,cāng,cǎng,blue; green, [sound:sapi5-f43e43c4-4ea7db10-a770f1e5-216e140e-c3205a23.mp3]
喷,噴,pēn,pèn,"spurt, blow out, puff out", [sound:sapi5-d9596e7b-4e4a84d0-458505a7-782caa20-7056c2c4.mp3]
耗,,hào,"máo, mào","consume, use up; waste, squander", [sound:sapi5-1bc294c5-e6c01226-251a739d-4a71909a-080f8249.mp3]
凌,,líng,,pure; virtuous; insult; maltreat, [sound:sapi5-5ddde63c-343679a6-e8cef1bc-b4ef1486-9ae720ca.mp3]
敲,,qiāo,,"strike, beat, pound, hammer; rap", [sound:sapi5-a22b9fa6-700b6df3-1c41a697-72d587ed-ba1c857a.mp3]
菌,,jūn,jùn,"mushroom; germ, microbe", [sound:sapi5-cb55bcf3-f802ee4d-dc955173-f1c4c7b1-be5f29be.mp3]
赔,賠,péi,,"indemnify, suffer loss", [sound:sapi5-feabcd39-382c5f34-5c7018b4-0630283c-2a494774.mp3]
涂,涂 凃 塗,tú,,surname; name of certain rivers, [sound:sapi5-318331c5-faa3ce3b-767c4c35-a003f047-29ebbbde.mp3]
粹,,cuì,suì,pure; unadulterated; select, [sound:sapi5-572ab230-919af382-b8480744-e5992f48-1020bdbb.mp3]
扁,,biǎn,"piān, biàn","flat; tablet, signboard", [sound:sapi5-67b86c0e-acfb2d07-7a6c50b1-8551eae5-b5db1487.mp3]
亏,虧,yú,kuī,"lose, fail; damage; deficient", [sound:sapi5-df348d71-f1a158a2-1fea379b-bce1b261-8ba50628.mp3]
寂,,jì,,"still, silent, quiet, desolate", [sound:sapi5-7b1699cc-6a62dc29-bd605fab-bce9200c-0ebe5096.mp3]
煤,,méi,,"coal, coke, charcoal, carbon", [sound:sapi5-d4e9478d-5710af4a-80d46917-b9a8c785-e2e97d8e.mp3]
熊,,xióng,,a bear; brilliant; bright; surname, [sound:sapi5-f6257b0d-b6a93a6d-d59e8895-45498b0c-7aa94a50.mp3]
恭,,gōng,,"respectful, polite, reverent", [sound:sapi5-d99a9006-086808f7-31c56375-1157251c-1343509c.mp3]
湿,溼 濕,shī,qì,"wet, moist, humid, damp; illness", [sound:sapi5-e6600c55-bd01f6fa-38daa2e8-059fa0fc-3e8e6af5.mp3]
循,,xún,,"obey, comply with, follow", [sound:sapi5-50f1da0f-c00d6da2-3a339a12-480c0f63-4ea203f2.mp3]
暖,煖 暖,nuǎn,xuān,"warm, genial", [sound:sapi5-81f8891e-b2cbd5d6-bbd74701-a389b564-2be3dbbe.mp3]
糖,糖 醣,táng,,sugar; candy; sweets, [sound:sapi5-47e3514e-1a96056b-7a311126-3686c2b8-758f970d.mp3]
赋,賦,fù,,tax; give; endow; army; diffuse, [sound:sapi5-19a1c658-8e39da6d-8bfdb863-f261a8f6-d76e978d.mp3]
抑,,yì,,"press down, repress; curb, hinder", [sound:sapi5-56f6afee-0139b5ed-506063d0-b9abdf2a-0ad9ff12.mp3]
秩,,zhì,,order; orderly; salary; decade, [sound:sapi5-2826dd4c-0cf0abfb-f2a2ff2f-69dc0b76-b547eb1b.mp3]
帽,,mào,,"hat, cap; cap-like tops", [sound:sapi5-3559ef1b-b12883ca-5080f3b6-8e701a88-f1fd5e05.mp3]
哀,,āi,,"sad, mournful, pitiful; pity", [sound:sapi5-7985ad03-a4cbf18a-70079492-934ba2de-bde44e2c.mp3]
宿,,sù,"xiǔ, xiù","stop, rest, lodge, stay overnight; constellation", [sound:sapi5-47b5f03b-b39e4b39-e8f02d81-0baef453-cbe4c06e.mp3]
踏,,tà,tā,"step on, trample, tread on, walk", [sound:sapi5-5eb28ecb-75b40237-c9d09451-b03683c0-19cdde73.mp3]
烂,爛,làn,,"rotten, spoiled, decayed", [sound:sapi5-8925f950-870afc4b-fe285c09-aee4c846-ec51d116.mp3]
袁,,yuán,,robe; surname, [sound:sapi5-bbc710ea-7519d7ca-4ac893e3-871ec13b-6ed41b91.mp3]
侯,,hóu,hòu,"marquis, lord; target in archery", [sound:sapi5-22ff5eed-3fb4ceea-f6f1c0ee-416c4922-3d38f4e6.mp3]
抖,,dǒu,,"tremble, shake, rouse; give shake", [sound:sapi5-d2119b4c-86f65b1c-57d89488-b1a48866-cd23f9cc.mp3]
夹,夾,jiā,jiá,be wedged or inserted between, [sound:sapi5-755f9299-2a6b7e3f-fb797bef-cbdef4d0-39258232.mp3]
昆,崑 昆,kūn,hùn,elder brother; descendants, [sound:sapi5-b0bee34d-e06acac4-ccde74ba-dbf5c2c1-ede629c1.mp3]
肝,,gān,,liver, [sound:sapi5-174ecabb-cfeae9f8-c2df4f9e-616660a7-d5ef73b3.mp3]
擦,,cā,,"wipe, scrub, rub, scour; brush", [sound:sapi5-1317a355-afd29ea0-92e2de15-bd9047f6-84731414.mp3]
猪,豬,zhū,,"pig, hog, wild boar", [sound:sapi5-43d311f5-807db74a-5838055e-12e8009e-03130f15.mp3]
炼,煉 鍊,liàn,,"smelt, refine; distill, condense", [sound:sapi5-d7d8150d-bdbeced7-ad7ff20d-dcbaa890-f22988d1.mp3]
恒,恆 恒,héng,,"constant, regular, persistent", [sound:sapi5-64c59723-efef7b1f-6c919a9c-8b36a352-255fb3b7.mp3]
慎,,shèn,,"act with care, be cautious", [sound:sapi5-46567590-2c86219d-7f3027d9-1dcc826b-241d8fb2.mp3]
搬,,bān,,"transfer, move, remove, shift", [sound:sapi5-4330fdc6-8217f765-2f9d6cce-a5958758-819945e9.mp3]
纽,紐,niǔ,,"knot; button; handle, knob; tie", [sound:sapi5-4dfbb964-b3482df1-34aa3d2a-a48b6921-3ef75daa.mp3]
纹,紋,wén,,"line, streak, stripe; wrinkle", [sound:sapi5-c1af2628-8fef0f87-a44c727f-395271e3-18b50717.mp3]
玻,,bō,,glass, [sound:sapi5-9e96a5c5-44b4b37a-25624095-d813a3a2-ba3d997e.mp3]
渔,漁,yú,,to fish; seize; pursue; surname, [sound:sapi5-ddf4709c-9c6037a7-a9ae5301-b8702369-8713ff48.mp3]
磁,,cí,,magnetic; magnetism; porcelain, [sound:sapi5-6e56a046-c5152922-22526931-313c990a-da156648.mp3]
铜,銅,tóng,,"copper, brass, bronze", [sound:sapi5-0043f64a-57021b78-7f01e600-322b796f-d0fc6f4a.mp3]
齿,齒,chǐ,,"teeth; gears, cogs; age; simplified form of the KangXi radical number 211", [sound:sapi5-51e4c974-ec618063-d5e2bf2d-be2fd189-5927e903.mp3]
跨,,kuà,"kù, kuā, kuǎ","straddle, bestride, ride; carry", [sound:sapi5-e6915f3a-320eb73d-742b0f8d-1f04a2e9-a37fdf4e.mp3]
押,,yā,xiá,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard", [sound:sapi5-0945271e-bb86ca10-f9861be7-00732324-0683b9ca.mp3]
怖,,bù,,"terror, fear; frighten; terrified", [sound:sapi5-e7ed1282-5d4cf3ca-04129b63-5fe1c45f-831e2199.mp3]
漠,,mò,,"desert; aloof, indifferent, cool", [sound:sapi5-09ebd30e-9bdff05a-8f7eb5bd-d49272c7-893eaf9c.mp3]
疲,,pí,,"feel tired, be exhausted; weak", [sound:sapi5-e44fdd54-11044a10-6920290c-072b397e-d79e1363.mp3]
叛,,pàn,,rebel; rebellion; rebellious, [sound:sapi5-608ac80e-129ee0b3-db853601-47306b75-5b98ec35.mp3]
遣,,qiǎn,qiàn,"send, dispatch; send off, exile", [sound:sapi5-1d2aae54-b0273b8b-886edcbc-376943f7-2f1f35c0.mp3]
兹,,zī,cí,"now, here; this; time, year", [sound:sapi5-590894d6-c2d2cbf5-2a509078-d2b83d6c-88360dd3.mp3]
祭,,jì,zhài,"sacrifice to, worship", [sound:sapi5-056a50cc-3d173e8d-145cb353-b1371b68-6016f6d0.mp3]
醉,,zuì,,"intoxicated, drunk; addicted to", [sound:sapi5-10f29313-ab71af14-5c96ca6e-f1022cab-64c7c419.mp3]
拳,,quán,,fist; various forms of boxing, [sound:sapi5-6cdb8971-2e16afb2-10241dd1-c56eee3b-8c731fab.mp3]
弥,瀰 彌,mí,,"extensive, full; fill; complete", [sound:sapi5-426c9c2b-5f2e3355-0d4bd269-62025498-73f0545a.mp3]
斜,,xié,"xiá, yé","slanting, sloping, inclined", [sound:sapi5-a003a00c-8fc8b6d2-f354ea4b-d5152d95-882f8259.mp3]
档,檔,dǎng,dàng,"shelf; frame, crosspiece", [sound:sapi5-5fd12371-db75db88-7f1ac3a2-004c6216-b02c785b.mp3]
稀,,xī,,"rare, unusual, scarce; sparse", [sound:sapi5-326c9e8d-d1a9c899-6856a5fa-7c4f955c-b3cbbd0a.mp3]
捷,,jié,qiè,"win, victory, triumph", [sound:sapi5-4ca1d47a-c457f9b0-56d82472-e1c0d94b-eccb7818.mp3]
肤,膚,fū,,"skin; superficial, shallow", [sound:sapi5-db9003f8-26ea2234-b3b88021-8f61e7ac-986ddcf8.mp3]
疫,,yì,,"epidemic, plague, pestilence", [sound:sapi5-8c8a267d-52ab8e2d-2263fb1d-b4800b3b-36811733.mp3]
肿,腫,zhǒng,,swell; swollen; swelling, [sound:sapi5-6307f2ef-9bfab56d-43506df6-7242fd67-5af3e4e1.mp3]
豆,荳 豆,dòu,,"beans, peas; bean-shaped", [sound:sapi5-f78e3980-12fb5a95-27e7e718-5a6fe386-c822e458.mp3]
削,,xuē,xiāo,"scrape off, pare, trim", [sound:sapi5-727acaa2-03c1136f-8235cc14-a71ac9f5-7f324dba.mp3]
岗,崗,gǎng,gāng,post; position, [sound:sapi5-a41def3d-3345c0da-74310382-68a6d790-ddde5d40.mp3]
晃,,huǎng,huàng,"bright, dazzling; to sway, shake", [sound:sapi5-65084199-e9c3d814-18c3936c-849d96e4-85ec61bb.mp3]
吞,,tūn,,"swallow; absorb, annex, engulf", [sound:sapi5-582c9f9d-18849c02-94c6e08d-226ecd12-c6e665a8.mp3]
宏,,hóng,,"wide, spacious, great, vast", [sound:sapi5-7758a635-a6c10b56-d1cd0ca0-3e364b9d-f4aa7efa.mp3]
癌,,ái,yán,cancer; marmoset, [sound:sapi5-bc3bdb63-36fecd7d-f758615f-b0a96537-00426608.mp3]
肚,,dù,dǔ,belly; abdomen; bowels, [sound:sapi5-4d9f54a9-e4fe4db8-74312bee-c354b7d9-f95741bb.mp3]
隶,隸,lì,"dài, yì, dì",subservient; servant; KangXi radical 171, [sound:sapi5-01ec24c7-67cb9390-d4cc399b-fdeefe98-6ae5463a.mp3]
履,,lǚ,,"footwear, shoes; walk on, tread", [sound:sapi5-c1f50fd0-01e3087f-e722225b-972ef24c-a282ff7e.mp3]
涨,漲,zhǎng,zhàng,rise in price, [sound:sapi5-ea1bac61-a8e6e8b3-cb731e4a-9789b5c6-0a81b82c.mp3]
耀,,yào,,"shine, sparkle, dazzle; glory", [sound:sapi5-aa09f0e9-42f5e94b-acc012ef-ffa6867a-d4168930.mp3]
扭,,niǔ,,"turn, twist, wrench; seize, grasp", [sound:sapi5-5e3641e4-32416390-cdda1577-84f98305-e5c97249.mp3]
坛,罈 壇,tán,,"altar; arena, examination hall", [sound:sapi5-9c54b48d-c9bf86c8-59d5bc61-f94de2bf-0b7ec5b6.mp3]
拨,撥,bō,fá,move; dispel; distribute, [sound:sapi5-15a12b94-4aa22fe7-fbcdad6c-d257d7e3-d08b3208.mp3]
沃,,wò,,"water, irrigate; fertile, rich", [sound:sapi5-c7f0354a-6cad6e17-793c9377-b4cb547f-796210b8.mp3]
绘,繪,huì,,"draw, sketch, paint", [sound:sapi5-b8fc04cc-0229709f-83e4f52f-f652bb32-6fa36ade.mp3]
伐,,fá,,"cut down, subjugate, attack", [sound:sapi5-54aca288-0d64706f-9c34115b-74700626-d1a9b362.mp3]
堪,,kān,,"adequately capable of, worthy of", [sound:sapi5-b13c6dd5-826c16ce-302acf53-ee8b55eb-87f4a8d3.mp3]
仆,,pū,"fù, pú","fall forward; lie prostrate, prone; servant", [sound:sapi5-8c13396f-f876e367-3de0f1a2-5f9cb055-2b319a29.mp3]
郭,,guō,guó,outer part (of a city); surname, [sound:sapi5-0763e26e-7acad262-c672c373-85a97642-47357bea.mp3]
牺,犧,xī,suō,"sacrifice, give up; sacrificial", [sound:sapi5-9ceefd9d-0e74e503-ef6e81d6-50dcba24-afcd5765.mp3]
歼,,jiān,,"annihilate, wipe out, kill off", [sound:sapi5-99491e7d-f37fff48-8e3b98c9-bfaf6cd3-f6563852.mp3]
墓,,mù,,"grave, tomb", [sound:sapi5-a9dff697-794fcf45-04026e9d-68bea92d-2be840dc.mp3]
雇,雇 僱,gù,,"employ, to hire", [sound:sapi5-0f1a85c5-58287b4f-49b6606a-8fb36b88-8b69d7e0.mp3]
廉,,lián,,"upright, honorable, honest", [sound:sapi5-c4a736bb-8df14902-7cd69f90-c8e3f108-288ec785.mp3]
契,,qì,"qiè, xiè","deed, contract, bond; engrave", [sound:sapi5-c74ff3ef-226eb663-2cf6360a-8c80b944-42e31160.mp3]
拼,,pīn,,"join together, link, incorporate", [sound:sapi5-0500ca93-d4ac748a-71aa5833-0d8a6f55-f5ea7283.mp3]
惩,懲,chéng,,"punish, reprimand; warn", [sound:sapi5-07dd1c38-af8a1f08-100de6b9-4a703890-39da3d07.mp3]
捉,,zhuō,,"grasp, clutch; catch, seize", [sound:sapi5-d6447454-e1a72e0f-fbc77a35-3cf911ac-9a23828e.mp3]
覆,,fù,,cover; tip over; return; reply, [sound:sapi5-08195288-df2c2a70-e319e33c-01327d97-66de5c51.mp3]
刷,,shuā,shuà,"brush; clean with brush, scrub", [sound:sapi5-15e8a9c6-f7ea90f3-fd9ca0f9-09c06a11-aff38c72.mp3]
劫,,jié,,"take by force, coerce; disaster", [sound:sapi5-9ca82f46-42d35918-23c97498-f99c27c0-1fbafd76.mp3]
嫌,,xián,,"hate, detest; suspect; criticize", [sound:sapi5-b0a79a27-4166663d-8d30ed9c-11a850bf-a424d733.mp3]
瓜,,guā,,"melon, gourd, cucumber; rad. 97", [sound:sapi5-350dacc3-9fd70889-c2c334b7-19e48134-36b03028.mp3]
歇,,xiē,yà,"rest, stop, lodge", [sound:sapi5-407066c4-fec77961-ce5472f6-22e6b75c-65ae2a90.mp3]
雕,鵰 彫 雕,diāo,,"engrave, inlay, carve; exhaust; used for U+9D70 鵰 an eagle, vulture", [sound:sapi5-3b7a7b7b-b7a977b9-b7a3f65d-7304a330-298d8316.mp3]
闷,悶,mèn,mēn,"gloomy, depressed, melancholy", [sound:sapi5-4570c37f-15ae71b7-112f6dd5-a2f87c2a-82f85593.mp3]
乳,,rǔ,,"breast, nipples; milk, suckle", [sound:sapi5-9acd651d-dc69eb9a-75c55033-dc2dea4e-6a7997f0.mp3]
串,,chuàn,guàn,string; relatives; conspire, [sound:sapi5-e3560559-c4d781aa-30df79ae-eb19d915-069e49a7.mp3]
娃,,wá,,baby; doll; pretty girl, [sound:sapi5-2cdbe1ac-ad7f95b5-7a51fe44-23564464-4f2ce798.mp3]
缴,繳,jiǎo,zhuó,"deliver, submit; hand over", [sound:sapi5-7209b225-c1d9265e-0c6ef229-eaefa279-51b4b939.mp3]
唤,,huàn,,call, [sound:sapi5-a88bbea6-5fe20560-aa8f2473-2706a915-42f19a1c.mp3]
